meter_id,date,reading
SDGE_EMS.T,2024-10-03,57371.272798
SDGE_EMS.T,2024-10-04,57925.283128
SDGE_EMS.T,2024-10-05,53538.728703
SDGE_EMS.T,2024-10-06,53178.52279
SDGE_EMS.T,2024-10-07,58012.918314
SDGE_EMS.T,2024-10-08,56414.640564
SDGE_EMS.T,2024-10-09,54028.722919
SDGE_EMS.T,2024-10-10,55757.311686
SDGE_EMS.T,2024-10-11,55251.208753
SDGE_EMS.T,2024-10-12,50097.917298
SDGE_EMS.T,2024-10-13,47737.627254
SDGE_EMS.T,2024-10-14,53697.749823
SDGE_EMS.T,2024-10-15,56587.325020000004
SDGE_EMS.T,2024-10-16,57662.890434
SDGE_EMS.T,2024-10-17,56063.216194
SDGE_EMS.T,2024-10-18,51459.670119
SDGE_EMS.T,2024-10-19,46776.320271
SDGE_EMS.T,2024-10-20,47003.856834
SDGE_EMS.T,2024-10-21,52988.331387
SDGE_EMS.T,2024-10-22,55368.625114
SDGE_EMS.T,2024-10-23,56135.809155999996
SDGE_EMS.T,2024-10-24,55056.673188
SDGE_EMS.T,2024-10-25,53806.153208
SDGE_EMS.T,2024-10-26,49745.612852
SDGE_EMS.T,2024-10-27,49655.971628
SDGE_EMS.T,2024-10-28,56067.267756
SDGE_EMS.T,2024-10-29,52363.163198
SDGE_EMS.T,2024-10-30,51996.395892
SDGE_EMS.T,2024-10-31,51066.136051
SDGE_EMS.T,2024-11-01,48495.188752
SDGE_EMS.T,2024-11-02,47698.568517
SDGE_EMS.T,2024-11-03,47592.392534
SDGE_EMS.T,2024-11-04,49158.721308
SDGE_EMS.T,2024-11-05,50259.946679
SDGE_EMS.T,2024-11-06,51306.017873
SDGE_EMS.T,2024-11-07,50039.416677
SDGE_EMS.T,2024-11-08,49678.407146
SDGE_EMS.T,2024-11-09,47110.007303
SDGE_EMS.T,2024-11-10,45648.397031
SDGE_EMS.T,2024-11-11,49654.898927
SDGE_EMS.T,2024-11-12,50042.166986
SDGE_EMS.T,2024-11-13,50326.709632
SDGE_EMS.T,2024-11-14,51065.990398
SDGE_EMS.T,2024-11-15,53727.431467
SDGE_EMS.T,2024-11-16,47169.109664
SDGE_EMS.T,2024-11-17,48331.228376
SDGE_EMS.T,2024-11-18,53012.440452
SDGE_EMS.T,2024-11-19,52037.869844
SDGE_EMS.T,2024-11-20,53018.012479
SDGE_EMS.T,2024-11-21,51307.973973
SDGE_EMS.T,2024-11-22,51806.930345
SDGE_EMS.T,2024-11-23,48966.196313
SDGE_EMS.T,2024-11-24,48641.131061
SDGE_EMS.T,2024-11-25,51747.852005
SDGE_EMS.T,2024-11-26,53976.438401
SDGE_EMS.T,2024-11-27,53263.216405
SDGE_EMS.T,2024-11-28,47183.189738
SDGE_EMS.T,2024-11-29,50702.800949
SDGE_EMS.T,2024-11-30,47508.127738999996
SDGE_EMS.T,2024-12-01,48049.313921
SDGE_EMS.T,2024-12-02,52320.539305
SDGE_EMS.T,2024-12-03,52761.636664
SDGE_EMS.T,2024-12-04,53939.7344
SDGE_EMS.T,2024-12-05,53509.83285
SDGE_EMS.T,2024-12-06,53626.20484
SDGE_EMS.T,2024-12-07,50795.539098
SDGE_EMS.T,2024-12-08,48769.863531
SDGE_EMS.T,2024-12-09,52456.142089
SDGE_EMS.T,2024-12-10,52041.238644
SDGE_EMS.T,2024-12-11,56445.319081
SDGE_EMS.T,2024-12-12,56564.25604
SDGE_EMS.T,2024-12-13,55027.291437
SDGE_EMS.T,2024-12-14,51199.457653
SDGE_EMS.T,2024-12-15,49826.438092
SDGE_EMS.T,2024-12-16,55316.915358
SDGE_EMS.T,2024-12-17,55838.610588999996
SDGE_EMS.T,2024-12-18,56126.716446
SDGE_EMS.T,2024-12-19,54572.255649
SDGE_EMS.T,2024-12-20,54928.202494
SDGE_EMS.T,2024-12-21,51570.888997
SDGE_EMS.T,2024-12-22,51613.790781
SDGE_EMS.T,2024-12-23,53950.988808
SDGE_EMS.T,2024-12-24,55097.125638
SDGE_EMS.T,2024-12-25,49172.578480000004
SDGE_EMS.T,2024-12-26,53303.142451
SDGE_EMS.T,2024-12-27,56251.116926
SDGE_EMS.T,2024-12-28,51571.694909
SDGE_EMS.T,2024-12-29,51664.909049
SDGE_EMS.T,2024-12-30,53432.691739
SDGE_EMS.T,2024-12-31,54039.06585
